Datetime,Buy_Count,Sell_Count
2021-12-27 16:30:00+00:00,2,52
2021-12-27 17:30:00+00:00,2,52
2021-12-27 18:30:00+00:00,1,54
2021-12-27 19:30:00+00:00,2,54
2021-12-27 20:30:00+00:00,2,52
2021-12-28 14:30:00+00:00,3,34
2021-12-28 15:30:00+00:00,4,34
2021-12-28 16:30:00+00:00,2,35
2021-12-28 17:30:00+00:00,6,30
2021-12-28 18:30:00+00:00,6,28
2021-12-28 19:30:00+00:00,3,33
2021-12-28 20:30:00+00:00,3,34
2021-12-29 14:30:00+00:00,20,24
2021-12-29 15:30:00+00:00,14,22
2021-12-29 16:30:00+00:00,20,15
2021-12-29 17:30:00+00:00,17,19
2021-12-29 18:30:00+00:00,13,20
2021-12-29 19:30:00+00:00,10,23
2021-12-29 20:30:00+00:00,9,16
2021-12-30 14:30:00+00:00,2,11
2021-12-30 15:30:00+00:00,2,12
2021-12-30 16:30:00+00:00,1,12
2021-12-30 17:30:00+00:00,1,15
2021-12-30 18:30:00+00:00,2,14
2021-12-30 19:30:00+00:00,1,13
2021-12-30 20:30:00+00:00,3,6
2021-12-31 14:30:00+00:00,8,8
2021-12-31 15:30:00+00:00,9,9
2021-12-31 16:30:00+00:00,8,8
2021-12-31 17:30:00+00:00,9,9
2021-12-31 18:30:00+00:00,17,5
2021-12-31 19:30:00+00:00,16,8
2021-12-31 20:30:00+00:00,26,5
2022-01-03 14:30:00+00:00,38,3
2022-01-03 15:30:00+00:00,46,1
2022-01-03 16:30:00+00:00,44,2
2022-01-03 17:30:00+00:00,45,2
2022-01-03 18:30:00+00:00,37,3
2022-01-03 19:30:00+00:00,33,4
2022-01-03 20:30:00+00:00,23,10
2022-01-04 14:30:00+00:00,36,9
2022-01-04 15:30:00+00:00,36,6
2022-01-04 16:30:00+00:00,36,5
2022-01-04 17:30:00+00:00,40,4
2022-01-04 18:30:00+00:00,41,4
2022-01-04 19:30:00+00:00,25,4
2022-01-04 20:30:00+00:00,23,7
2022-01-05 14:30:00+00:00,22,10
2022-01-05 15:30:00+00:00,24,13
2022-01-05 16:30:00+00:00,26,12
2022-01-05 17:30:00+00:00,32,10
2022-01-05 18:30:00+00:00,47,7
2022-01-05 19:30:00+00:00,53,5
2022-01-05 20:30:00+00:00,57,2
2022-01-06 14:30:00+00:00,42,1
2022-01-06 15:30:00+00:00,27,0
2022-01-06 16:30:00+00:00,27,2
2022-01-06 17:30:00+00:00,30,1
2022-01-06 18:30:00+00:00,25,4
2022-01-06 19:30:00+00:00,36,1
2022-01-06 20:30:00+00:00,41,1
2022-01-07 14:30:00+00:00,46,3
2022-01-07 15:30:00+00:00,48,5
2022-01-07 16:30:00+00:00,45,2
2022-01-07 17:30:00+00:00,46,3
2022-01-07 18:30:00+00:00,42,3
2022-01-07 19:30:00+00:00,33,8
2022-01-07 20:30:00+00:00,31,9
2022-01-10 14:30:00+00:00,53,4
2022-01-10 15:30:00+00:00,56,3
2022-01-10 16:30:00+00:00,62,2
2022-01-10 17:30:00+00:00,48,2
2022-01-10 18:30:00+00:00,37,4
2022-01-10 19:30:00+00:00,37,3
2022-01-10 20:30:00+00:00,18,6
2022-01-11 14:30:00+00:00,13,7
2022-01-11 15:30:00+00:00,6,8
2022-01-11 16:30:00+00:00,5,5
2022-01-11 17:30:00+00:00,4,7
2022-01-11 18:30:00+00:00,3,10
2022-01-11 19:30:00+00:00,1,11
2022-01-11 20:30:00+00:00,1,12
2022-01-12 14:30:00+00:00,2,60
2022-01-12 15:30:00+00:00,1,45
2022-01-12 16:30:00+00:00,0,59
2022-01-12 17:30:00+00:00,0,52
2022-01-12 18:30:00+00:00,0,45
2022-01-12 19:30:00+00:00,0,39
2022-01-12 20:30:00+00:00,1,28
2022-01-13 14:30:00+00:00,2,31
2022-01-13 15:30:00+00:00,8,21
2022-01-13 16:30:00+00:00,16,10
2022-01-13 17:30:00+00:00,14,10
2022-01-13 18:30:00+00:00,16,8
2022-01-13 19:30:00+00:00,27,3
2022-01-13 20:30:00+00:00,31,3
2022-01-14 14:30:00+00:00,48,6
2022-01-14 15:30:00+00:00,44,4
2022-01-14 16:30:00+00:00,47,3
2022-01-14 17:30:00+00:00,51,3
2022-01-14 18:30:00+00:00,47,3
2022-01-14 19:30:00+00:00,32,6
2022-01-14 20:30:00+00:00,28,6
2022-01-18 14:30:00+00:00,39,2
2022-01-18 15:30:00+00:00,47,0
2022-01-18 16:30:00+00:00,35,1
2022-01-18 17:30:00+00:00,41,1
2022-01-18 18:30:00+00:00,34,2
2022-01-18 19:30:00+00:00,34,3
2022-01-18 20:30:00+00:00,32,1
2022-01-19 14:30:00+00:00,20,1
2022-01-19 15:30:00+00:00,25,2
2022-01-19 16:30:00+00:00,13,3
2022-01-19 17:30:00+00:00,11,3
2022-01-19 18:30:00+00:00,18,4
2022-01-19 19:30:00+00:00,37,1
2022-01-19 20:30:00+00:00,47,0
2022-01-20 14:30:00+00:00,17,4
2022-01-20 15:30:00+00:00,10,6
2022-01-20 16:30:00+00:00,7,5
2022-01-20 17:30:00+00:00,10,6
2022-01-20 18:30:00+00:00,15,3
