Date_Time,Buy_Count,Sell_Count,B_S,Position,Close
2024-03-20 13:30:00+00:00,11,11,0,No Signal,18052.16992
2024-03-20 14:30:00+00:00,8,7,1,No Signal,18044.74805
2024-03-20 15:30:00+00:00,6,6,0,No Signal,18036.73047
2024-03-20 16:30:00+00:00,9,3,6,No Signal,18021.07617
2024-03-20 17:30:00+00:00,2,10,-8,No Signal,18121.91992
2024-03-20 18:30:00+00:00,1,17,-16,No Signal,18236.73047
2024-03-20 19:30:00+00:00,1,20,-19,No Signal,18238.60547
2024-03-21 13:30:00+00:00,2,56,-54,Short,18420.41016
2024-03-21 14:30:00+00:00,0,48,-48,No Signal,18415.79688
2024-03-21 15:30:00+00:00,0,45,-45,No Signal,18461.83984
2024-03-21 16:30:00+00:00,1,39,-38,No Signal,18424.46094
2024-03-21 17:30:00+00:00,1,36,-35,No Signal,18375.24414
2024-03-21 18:30:00+00:00,1,39,-38,No Signal,18347.45508
2024-03-21 19:30:00+00:00,2,30,-28,No Signal,18317.0957
2024-03-22 13:30:00+00:00,3,24,-21,No Signal,18296.77734
2024-03-22 14:30:00+00:00,4,22,-18,No Signal,18317.25195
2024-03-22 15:30:00+00:00,3,18,-15,No Signal,18316.58203
2024-03-22 16:30:00+00:00,4,25,-21,No Signal,18360.20117
2024-03-22 17:30:00+00:00,8,15,-7,No Signal,18372.67383
2024-03-22 18:30:00+00:00,13,7,6,No Signal,18335.1582
2024-03-22 19:30:00+00:00,11,6,5,No Signal,18339.91016
2024-03-25 13:30:00+00:00,28,4,24,Long,18280.67969
2024-03-25 14:30:00+00:00,26,4,22,No Signal,18296.80469
2024-03-25 15:30:00+00:00,33,2,31,No Signal,18293.07227
2024-03-25 16:30:00+00:00,25,3,22,No Signal,18312.78711
2024-03-25 17:30:00+00:00,23,7,16,No Signal,18327.66992
2024-03-25 18:30:00+00:00,21,7,14,No Signal,18299.34375
2024-03-25 19:30:00+00:00,23,6,17,No Signal,18279.07031
2024-03-26 13:30:00+00:00,8,8,0,No Signal,18330.90039
2024-03-26 14:30:00+00:00,10,11,-1,No Signal,18340.22852
2024-03-26 15:30:00+00:00,7,11,-4,No Signal,18333.08008
2024-03-26 16:30:00+00:00,19,11,8,No Signal,18320.82422
2024-03-26 17:30:00+00:00,17,7,10,No Signal,18329.01563
2024-03-26 18:30:00+00:00,17,9,8,No Signal,18281.25781
2024-03-26 19:30:00+00:00,19,5,14,No Signal,18213.69336
2024-03-27 13:30:00+00:00,11,15,-4,No Signal,18193.67383
2024-03-27 14:30:00+00:00,10,11,-1,No Signal,18183.72266
2024-03-27 15:30:00+00:00,10,12,-2,No Signal,18213.83008
2024-03-27 16:30:00+00:00,10,13,-3,No Signal,18206.70703
2024-03-27 17:30:00+00:00,7,13,-6,No Signal,18232.16602
2024-03-27 18:30:00+00:00,8,12,-4,No Signal,18211.09766
2024-03-27 19:30:00+00:00,2,16,-14,No Signal,18283.41797
2024-03-28 13:30:00+00:00,11,24,-13,No Signal,18265.875
2024-03-28 14:30:00+00:00,7,26,-19,No Signal,18279.17773
2024-03-28 15:30:00+00:00,8,24,-16,No Signal,18264.06445
2024-03-28 16:30:00+00:00,8,22,-14,No Signal,18243.32422
2024-03-28 17:30:00+00:00,10,22,-12,No Signal,18254.98047
2024-03-28 18:30:00+00:00,7,24,-17,No Signal,18280.95117
2024-03-28 19:30:00+00:00,5,21,-16,No Signal,18242.97852
2024-04-01 13:30:00+00:00,7,17,-10,No Signal,18324.64453
2024-04-01 14:30:00+00:00,8,13,-5,No Signal,18261.28906
2024-04-01 15:30:00+00:00,14,14,0,No Signal,18264.74414
2024-04-01 16:30:00+00:00,14,11,3,No Signal,18240.49219
