Date,Signal
2024-02-16 16:30:00+00:00,Short
2024-02-16 20:30:00+00:00,Long
2024-02-20 16:30:00+00:00,Short
2024-02-21 15:30:00+00:00,Long
2024-02-23 17:30:00+00:00,Short
2024-02-26 14:30:00+00:00,Long
2024-02-27 15:30:00+00:00,Short
2024-02-29 16:30:00+00:00,Long
2024-02-29 17:30:00+00:00,Short
2024-03-01 14:30:00+00:00,Long
2024-03-01 15:30:00+00:00,Short
2024-03-04 19:30:00+00:00,Long
2024-03-05 18:30:00+00:00,Short
2024-03-06 18:30:00+00:00,Long
2024-03-08 19:30:00+00:00,Short
2024-03-12 18:30:00+00:00,Long
2024-03-18 13:30:00+00:00,Short
2024-03-19 16:30:00+00:00,Long
2024-03-20 13:30:00+00:00,Short
2024-03-20 15:30:00+00:00,Long
2024-03-21 13:30:00+00:00,Short
2024-03-21 19:30:00+00:00,Long
2024-03-22 18:30:00+00:00,Short
2024-03-26 18:30:00+00:00,Long
2024-04-02 16:30:00+01:00,Short
2024-04-02 17:30:00+01:00,Long
2024-04-02 20:30:00+01:00,Short
2024-04-03 18:30:00+01:00,Long
2024-04-04 16:30:00+01:00,Short
2024-04-09 14:30:00+01:00,Long
2024-04-10 19:30:00+01:00,Short
2024-04-11 19:30:00+01:00,Long
2024-04-12 14:30:00+01:00,Short
2024-04-12 16:30:00+01:00,Long
2024-04-15 14:30:00+01:00,Short
2024-04-15 19:30:00+01:00,Long
2024-04-17 14:30:00+01:00,Short
2024-04-17 18:30:00+01:00,Long
2024-04-24 15:30:00+01:00,Short
2024-04-24 17:30:00+01:00,Long
2024-04-25 15:30:00+01:00,Short
2024-04-25 20:30:00+01:00,Long
2024-04-26 18:30:00+01:00,Short
2024-04-26 20:30:00+01:00,Long
2024-04-29 20:30:00+01:00,Short
2024-04-30 15:30:00+01:00,Long
2024-04-30 20:30:00+01:00,Short
2024-05-01 19:30:00+01:00,Long
2024-05-02 15:30:00+01:00,Short
2024-05-03 14:30:00+01:00,Long
2024-05-03 19:30:00+01:00,Short
2024-05-21 14:30:00+01:00,Long
2024-05-21 17:30:00+01:00,Short
2024-05-31 19:30:00+01:00,Long
2024-06-03 18:30:00+01:00,Short
2024-06-03 19:30:00+01:00,Long
2024-06-10 18:30:00+01:00,Short
2024-06-10 20:30:00+01:00,Long
2024-06-17 17:30:00+01:00,Short
2024-06-18 15:30:00+01:00,Long
2024-06-18 20:30:00+01:00,Short
2024-06-20 19:30:00+01:00,Long
2024-06-21 15:30:00+01:00,Short
2024-06-26 17:30:00+01:00,Long
2024-06-27 20:30:00+01:00,Short
2024-06-28 20:30:00+01:00,Long
2024-07-01 19:30:00+01:00,Short
2024-07-02 15:30:00+01:00,Long
2024-07-02 17:30:00+01:00,Short
2024-07-05 18:30:00+01:00,Long
2024-07-08 16:30:00+01:00,Short
2024-07-08 18:30:00+01:00,Long
2024-07-09 20:30:00+01:00,Short
2024-07-10 14:30:00+01:00,Long
2024-07-10 18:30:00+01:00,Short
2024-07-15 18:30:00+01:00,Long
2024-07-15 20:30:00+01:00,Short
2024-07-16 14:30:00+01:00,Long
2024-07-16 15:30:00+01:00,Short
2024-07-23 15:30:00+01:00,Long
2024-07-23 17:30:00+01:00,Short
2024-07-23 19:30:00+01:00,Long
2024-07-25 16:30:00+01:00,Short
2024-07-25 17:30:00+01:00,Long
2024-07-26 17:30:00+01:00,Short
2024-07-29 14:30:00+01:00,Long
2024-07-30 17:30:00+01:00,Short
2024-07-31 16:30:00+01:00,Long
